idx,title,body,label
0,Concurrent updates cause data corruption,"Under load testing, user data gets corrupted. Need proper locking.",thread_safety
1,Users persist after deletion,The delete_user function appears to be a no-op. Checked the code and it just has `pass` in the if block.,delete_user_bug
2,Implement automatic cleanup task,Need a background thread that runs `cleanup_expired()` every N seconds.,cleanup_task
3,Add type hints throughout codebase,Use mypy for type checking.,typing_tooling
4,modulo function also has zero division issue,"Similar to the divide bug, `modulo(5, 0)` also crashes. Should be fixed together with divide.",divide_by_zero
5,CacheManager.delete doesn't cleanup ttl_map,"When deleting a key, we remove from `cache` but not `ttl_map`. This causes memory leak over time.",cache_memory_leak
6,delete_user doesn't actually delete users,I called `user_manager.delete_user(123)` but the user still shows up in `list_users()`. ,delete_user_bug
7,Memory leak? Users not being removed,Our user list keeps growing even though we're calling delete_user. Is there a memory leak?,delete_user_bug
8,SQL injection vulnerability in Database.insert_user,"The insert_user method uses f-strings to build queries. This is a critical security vulnerability.

**Exploit:**
```python
db.insert_user(""admin' OR '1'='1"", """)
```
",sql_injection
9,IndexError in truncate function,"`truncate('abc', 10)` raises `IndexError: Length 10 exceeds string length 3`.

Should just return the whole string instead.",truncate_edge_case
10,Make is_palindrome robust to case and spaces,"It should:
1. Convert to lowercase
2. Remove spaces
3. Then compare",palindrome_case
11,Stack overflow in factorial,The factorial function doesn't validate input. Negative numbers cause infinite loop.,factorial_validation
12,Use parameterized queries throughout database layer,All SQL queries should use `?` placeholders and parameter tuples instead of string formatting.,sql_injection
13,ValueError when calculating square root of negative numbers,"Calling `sqrt(-1)` raises:
```
ValueError: math domain error
```
Maybe return None or support complex numbers?",sqrt_negative
14,String truncation edge case,Truncate should return the full string if requested length exceeds actual length.,truncate_edge_case
15,Fix typos in docstrings,Found several spelling errors.,documentation
16,Palindrome check fails for mixed case strings,The function compares raw strings without normalizing case first.,palindrome_case
17,truncate throws exception if length is larger than string,"Python slicing handles this gracefully (`'abc'[:10]` == `'abc'`), but our function raises an error.",truncate_edge_case
18,Race condition in UserManager.update_user,"When multiple threads update the same user simultaneously, we get corrupted data.

The lock is defined but never used.",thread_safety
19,Add logging to all modules,Use standard logging library.,logging
20,Unhandled exception in math_ops,"Getting crashes in production from divide(x, 0). Need to add validation.",divide_by_zero
21,Use threading.Lock in all mutation methods,Should wrap all dict modifications in `with self.lock:`,thread_safety
22,Add timeout to all HTTP requests,Both get() and post() should respect self.timeout.,http_timeout
23,Memory leak in CacheManager,"Cache grows indefinitely. Expired entries are never removed automatically.

After 24 hours, memory usage is 2GB+.",cache_memory_leak
24,UserManager.delete_user is not implemented,"Need to actually delete from self.users dict:
```python
del self.users[user_id]
```",delete_user_bug
25,sqrt function should handle negative inputs gracefully,"Instead of crashing, we should either:
1. Return a complex number
2. Return None
3. Raise a custom exception with helpful message",sqrt_negative
26,Update README with installation instructions,Add setup steps and requirements.,documentation
27,Add MIT License,Need open source license.,licensing
28,Thread safety issues in user manager,add_user and update_user are not thread-safe despite having a lock attribute.,thread_safety
29,is_palindrome should be case insensitive,"`is_palindrome('Racecar')` returns `False`, but it should return `True`.

Palindromes should ignore case by convention.",palindrome_case
30,Refactor directory structure,Move code to src/ directory.,refactor_structure
31,Crash report: math domain error in sqrt,"Production error when user inputted negative value. Stack trace:
```
File ""math_ops.py"", line 23, in sqrt
    return math.sqrt(a)
ValueError: math domain error
```
",sqrt_negative
32,APIClient.get hangs forever on slow endpoints,The GET method doesn't use the timeout parameter. Requests hang indefinitely.,http_timeout
33,Add input validation to factorial,Should check `n >= 0` at the start of the function.,factorial_validation
34,Add CI/CD pipeline,Setup GitHub Actions for tests.,ci_cd
35,execute_query uses string formatting,Line 25: `query = query % params` is vulnerable to SQL injection.,sql_injection
36,KeyError in cleanup_expired,Sometimes cleanup_expired crashes with KeyError if a key was manually deleted. Need to use .get() or check existence first.,cleanup_task
37,Create CLI interface,Would be nice to run from command line.,cli_feature
38,Factorial causes infinite recursion on negative numbers,Calling `factorial(-1)` never returns and eventually causes stack overflow.,factorial_validation
39,Increase test coverage,"Currently at 45%, should be >80%.",testing
40,App crashes when dividing by zero,"I tried to use the divide function with 0 as the denominator and got:
```
ZeroDivisionError: division by zero
```
This is blocking our production deployment.",divide_by_zero
41,Support Python 3.12,Test with latest Python version.,compatibility
42,Need input validation in divide function,We should add a check to ensure we don't divide by zero. This is a common edge case that should be handled gracefully.,divide_by_zero
43,Performance optimization for large datasets,Some operations are slow.,performance
44,Timeout not applied to GET requests,"Only POST has timeout, GET is missing it.",http_timeout
45,String utils palindrome bug with capital letters,Capital letters cause the palindrome check to fail. Need to convert to lowercase before comparing.,palindrome_case
46,ZeroDivisionError in math_ops.divide,"The `divide` function crashes when the second argument is 0.

**Steps to reproduce:**
1. Call `divide(10, 0)`
2. See error

**Expected:** Should return error message or infinity
**Actual:** Crashes with ZeroDivisionError",divide_by_zero
47,Add validation to sqrt before calling math.sqrt,Need to check if `a < 0` before calling `math.sqrt(a)`.,sqrt_negative
48,Feature request: implement time travel,Please implement time travel as soon as possible,feature_request
49,"web page has no alt text, please add it","1 reports. First: web page has no alt text, please add it...",accessibility
50,Fight mode needs to have a higher diffuculty. its too easy,1 reports: Fight mode needs to have a higher diffuculty. its too easy,game_balance
51,The auto page should have a feature to purchase new flying cars,1 reports: The auto page should have a feature to purchase new flying cars,feature_request
52,CLI Test,Testing fix from CLI,cli_testing
